title,original_title,year,duration,presentation
John Wick: Chapter 4,,Cast & crew,,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that tur..."
The Chosen,,Cast & crew,,A charismatic fisherman struggling with debt. A troubled woman wrestling with demons. A gifted accountant ostracised from his family and people. In this ground-breaking first season of The C...
Chicago Fire,,Cast & crew,,"The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level."
Unforgotten,,Cast & crew,,"London detectives investigate crimes from the past, unravelling secrets left buried for years."
Happy Valley,,Cast & crew,,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.
American Horror Story,,Cast & crew,,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possess..."
Death in Paradise,,Cast & crew,,A Detective Inspector is transferred from London to the Caribbean island of Saint-Marie to investigate and solve complex murders.
The Crown,,Cast & crew,,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.
Interstellar,,Cast & crew,,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Reacher,,Cast & crew,,Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.
Black Mirror,,Cast & crew,,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Abbott Elementary,,Cast & crew,,"Follows a group of teachers brought together in one of the worst public schools in the country, simply because they love teaching."
The Batman,,Cast & crew,,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
Servant,,Cast & crew,,A Philadelphia couple are in mourning after an unspeakable tragedy creates a rift in their marriage and opens a door for a mysterious force to enter their home.
Endeavour,,Cast & crew,,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of i..."
Farzi,,Cast & crew,,"An artist who gets pulled into the murky high stakes of a con job and a fiery task force officer on the mission to rid the country of his menaces in a fast-paced, edgy one-of-a-kind thriller..."
Invincible,,Cast & crew,,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.
PEN15,,Cast & crew,,The comedic story of middle school seen through the eyes of two 7th grade girls dealing with the awkwardness of being a teenager.
Designated Survivor,,Cast & crew,,A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.
Big Little Lies,,Cast & crew,,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach ...
Letterkenny,,Cast & crew,,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town."
Mythic Quest,Original title: Mythic Quest: Raven's Banquet,Cast & crew,,The owner of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top.
La La Land,,Cast & crew,,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
The Big Short,,Cast & crew,,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is."
